"","Agraulis vanillae","Allograpta sp1 M_PL_072","Anthomyiidae sp1 M_PL_072","Apis mellifera","Astylus quadrilineatus","Audre epulus signata","Augochlora semiramis","Augochlorella ephyra","Augochloropsis sp2 M_PL_072","Bibionidae sp1 M_PL_072","Bombus bellicosus","Bombyliidae sp1 M_PL_072","Bombyliidae sp2 M_PL_072","Camponotus sp1 M_PL_072","Campsomeris bistrimacula","Cantharidae sp1 M_PL_072","Ceratina montana","Chalepogenus goeldianus","Chauliognathus scriptus","Chauliognathus sp2 M_PL_072","Chilicola sp1 M_PL_072","Chrysodina sp1 M_PL_072","Chrysomelidae sp2 M_PL_072","Chrysopa sp1 M_PL_072","Cleridae","Cochliomyia macellaria","Coelioxys sp1 M_PL_072","Colletes cyaneus","Colletes sp2 M_PL_072","Copestylum sp1 M_PL_072","Corticea immocerina","Curculionidae sp2 M_PL_072","Curculionidae sp4 M_PL_072","Dactylozodes sp1 M_PL_072","Dialictus sp1 M_PL_072","Drosophilidae sp1 M_PL_072","Entypus ferruginipennis","Entypus sp1 M_PL_072","Euptoieta claudia hortensia","Gaesischia sp1 M_PL_072","Leioproctus indigoticus","Lerodea eufala","Lucilia sericata","Megachile sp3 M_PL_072","Megachilidae sp1 M_PL_072","Melyridae sp1 M_PL_072","Mischocyttarus drewseni","Mordellidae sp1 M_PL_072","Palpada sp1 M_PL_072","Pampasatyrus gyrtone","Panurgillus sp1 M_PL_072","Parachytas sp1 M_PL_072","Phalacridae sp1 M_PL_072","Platycheirus sp1 M_PL_072","Polistes sp1 M_PL_072","Polybia scutellaris","Sarcophagidae sp1 M_PL_072","Staphylinidae sp1 M_PL_072","Staphylinidae sp2 M_PL_072","Tachinidae sp1 M_PL_072","Tachypompilus sp1 M_PL_072","Thespieus catochra","Tipulidae sp1 M_PL_072","Toxomerus sp1 M_PL_072","Vanessa sp1 M_PL_072","Villa sp1 M_PL_072","Xylocopa ciliata","Alophophion sp1 M_PL_072","Augochloropsis erato","Augochloropsis sp3 M_PL_072","Brachygastra lechiguana","Braconidae sp1 M_PL_072","Chrysomelidae sp4 M_PL_072","Culicidae sp1 M_PL_072","Curculionidae sp3 M_PL_072","Discodon sp1 M_PL_072","Discodon sp2 M_PL_072","Emesis russula","Ichneumonoidea sp2 M_PL_072","Libythea carinenta","Microgastrinae sp1 M_PL_072","Mordellidae sp2 M_PL_072","Podagritus sp1 M_PL_072","Pyrgus sp1 M_PL_072","Ruizantheda divaricata","Stenodynerus sp2 M_PL_072","Stratiomyidae sp1 M_PL_072","Strymon eurytulus","Tephritidae sp1 M_PL_072","Xylocopa augusti","Agrotis sp1 M_PL_072","Colias lesbia","Geometridae sp1 M_PL_072","Harmonia axyrides","Isepeolus viperinus","Lema sp1 M_PL_072","Megachile sp1 M_PL_072","Muscidae sp1 M_PL_072","Neochrysis sp1 M_PL_072","Pseudagapostemon brasiliensis","Pseudagapostemon pampeanus","Pseudagapostemon singularis","Pseudocentron sp1 M_PL_072","Pseudodoros sp1 M_PL_072","Syritta sp1 M_PL_072","Syrphidae sp1 M_PL_072","Tatochila autodice","Teochila maenacte","Trichopoda giacomelli","Yphthimoides celmis","Zeta canaliculata","Bombus atratus","Campsomeris sp2 M_PL_072","Ceratina rupestris","Chalcidoidea sp2 M_PL_072","Chlorion sp1 M_PL_072","Chlorostilbon aureoventris","Hedriodiscus pulcher","Leucospis sp1 M_PL_072","Megacyllene insignita","Melissoptila tandilensis","Paramoecerus barbicornis","Pompilidae sp1 M_PL_072","Chalcidoidea sp1 M_PL_072","Chrysomelidae sp1 M_PL_072","Coreidae sp1 M_PL_072","Eristalinus taeniops","Eristalis tenax","Eudesmia australis","Formicidae sp1 M_PL_072","Halictillus sp1 M_PL_072","Isodontia sp1 M_PL_072","Prionyx sp1 M_PL_072","Scelionidae sp1 M_PL_072","Sceliphron asiaticum","Sphex sp1 M_PL_072","Stenodynerus sp1 M_PL_072","Synanthedom albicalcarata","Tabanidae sp1 M_PL_072","Colletes sp1 M_PL_072","Megachile sp4 M_PL_072","Megacyllene spixi","Paroxystoglossa sp1 M_PL_072","Zethus sp1 M_PL_072","Achyra similalis","Epicauta sp1 M_PL_072","Heteroderes rufangulus","Tephritis sp1 M_PL_072","Braconinae sp1 M_PL_072","Chrysomelidae sp3 M_PL_072","Pepsis sp1 M_PL_072","Tephritidae sp2 M_PL_072","Anthrax sp1 M_PL_072","Danaus plexipus erippus","Ichneumonoidea sp3 M_PL_072","Mydidae sp1 M_PL_072","Stratiomyidae sp2 M_PL_072","Tatochila vanvolxemi","Cantharidae sp2 M_PL_072","Chrysomelidae sp5 M_PL_072","Conoderus sp1 M_PL_072","Curculionidae sp1 M_PL_072","Linepithema humile","Odontocera flavicauda","Panca subpunctuli","Urosigalphus sp1 M_PL_072","Agathidinae sp1 M_PL_072","Chloropidae sp1 M_PL_072","Ichneumonoidea sp1 M_PL_072","Megachile sp2 M_PL_072","Photinus fuscus","Pyraloidea sp1 M_PL_072"
"Achyrocline satureoides",3,3,5,6,0,0,9,4,3,0,1,0,1,7,0,3,0,0,3,0,10,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,2,0,0,1,3,2,0,0,0,6,0,3,1,0,3,2,2,5,6,5,1,0,2,1,1,0,3,2,7,0,0,3,1,9,2,0,0,0,2,2,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Alophia lahue",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis articulata",0,6,4,2,8,0,2,0,1,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,1,1,6,1,0,0,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Baccharis coridifolia",0,1,4,0,0,0,4,0,0,0,0,0,0,3,0,5,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,3,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis tandilensis",0,3,6,2,5,0,2,0,0,1,0,0,0,6,0,4,0,0,1,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,4,1,0,0,0,1,0,3,6,8,4,0,0,1,1,0,0,3,1,2,1,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Blumenbachia insignis",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carduus acanthoides",0,1,1,2,1,0,3,4,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echium plantagineum",0,1,0,3,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eryngium horridum",0,3,4,2,0,0,8,0,1,0,0,0,0,5,0,6,0,0,3,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,5,0,0,0,0,6,2,0,0,1,2,0,2,5,7,0,1,2,0,0,0,0,0,0,1,0,0,1,3,3,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"Eryngium nudicaule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eryngium stenophyllum",1,12,11,10,9,0,12,4,4,1,1,1,0,11,1,10,0,0,5,8,7,4,0,0,3,10,0,0,8,1,0,1,0,1,1,11,0,1,1,1,0,2,10,0,0,3,2,9,9,0,0,1,3,1,8,10,12,7,0,1,2,0,0,10,2,1,0,0,3,0,8,1,0,0,0,3,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,4,1,0,1,0,1,1,2,2,0,1,1,0,0,0,2,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,1,0,1,0
"Eupatorium squarrulosum",0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eupatorium subhastatum",2,1,3,8,0,2,6,2,0,1,4,0,1,1,0,0,1,0,1,0,0,4,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,1,3,1,0,2,0,3,0,1,4,0,1,1,0,2,2,1,0,0,0,0,6,1,0,4,3,3,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Eupatorium tenacetifolium",2,0,0,4,5,1,4,3,1,0,0,3,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,1,0,0,6,0,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,1,0,0,0,0,3,3,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gelasine azurea",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glandularia dissecta",0,1,1,0,3,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gomphrena perennis",0,1,1,1,0,1,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gymnocalycium reductum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Habranthus andersoni",0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Habranthus gracilifolius",0,0,0,0,1,0,5,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochaeris rosengurtii",0,0,1,1,7,1,6,3,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hysterionica pinifolia",1,2,3,1,0,0,6,3,0,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,1,2,0,0,5,0,0,2,0,0,1,0,0,0,2,3,0,1,0,2,0,1,1,2,1,1,0,1,0,1,1,4,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lathyrus pubescens",0,0,0,3,6,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,3,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalis articulata",0,0,0,0,2,0,9,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
